timestamp,air_temp_c,wind_speed_ms,relative_humidity_pct,cloud_cover_pct
2026-06-20 08:00:00,23.0,3.6,68.6,76.7
2026-06-20 09:00:00,24.1,4.3,63.2,68.4
2026-06-20 10:00:00,24.2,5.1,61.9,91.0
2026-06-20 11:00:00,23.1,4.1,73.1,95.3
2026-06-20 12:00:00,23.7,4.3,76.6,93.5
2026-06-20 13:00:00,24.8,5.6,59.4,84.0
2026-06-20 14:00:00,25.1,5.5,64.1,83.2
2026-06-20 15:00:00,24.3,5.5,64.1,54.7
2026-06-20 16:00:00,23.4,5.9,75.3,99.9
2026-06-20 17:00:00,22.4,5.1,88.3,67.3
2026-06-20 18:00:00,21.9,3.4,70.6,32.5
2026-06-20 19:00:00,21.2,1.7,61.7,10.5
2026-06-20 20:00:00,19.5,1.2,68.6,1.3
2026-06-20 21:00:00,17.5,1.9,72.0,0.2
2026-06-20 22:00:00,15.9,2.6,60.2,0.0
2026-06-20 23:00:00,14.9,1.2,61.4,0.0
2026-06-21 00:00:00,13.6,0.9,68.3,0.0
2026-06-21 01:00:00,12.5,0.3,72.8,0.0
2026-06-21 02:00:00,11.6,0.7,78.1,0.0
2026-06-21 03:00:00,11.2,0.8,81.2,0.0
2026-06-21 04:00:00,12.4,0.9,79.6,0.0
2026-06-21 05:00:00,14.3,1.0,72.5,0.0
2026-06-21 06:00:00,15.6,1.3,55.0,0.0
2026-06-21 07:00:00,17.2,1.7,50.5,0.0
2026-06-21 08:00:00,18.8,2.4,51.5,0.0
2026-06-21 09:00:00,20.3,2.7,48.8,0.2
2026-06-21 10:00:00,22.1,2.8,43.6,1.0
2026-06-21 11:00:00,23.4,2.9,36.3,4.2
2026-06-21 12:00:00,24.2,3.1,33.5,7.5
2026-06-21 13:00:00,24.4,4.1,30.8,5.8
2026-06-21 14:00:00,24.2,4.6,29.4,33.5
2026-06-21 15:00:00,23.8,4.6,30.6,20.4
2026-06-21 16:00:00,23.1,3.9,33.9,10.4
2026-06-21 17:00:00,22.0,4.5,33.9,5.4
2026-06-21 18:00:00,20.8,5.0,33.3,71.2
2026-06-21 19:00:00,19.3,4.2,39.3,54.1
2026-06-21 20:00:00,17.8,3.4,42.1,1.2
2026-06-21 21:00:00,16.4,3.2,41.8,0.0
2026-06-21 22:00:00,15.1,2.6,44.3,85.7
2026-06-21 23:00:00,14.2,2.5,46.9,77.2
2026-06-22 00:00:00,13.0,1.7,53.0,23.0
2026-06-22 01:00:00,11.6,1.4,60.3,0.1
2026-06-22 02:00:00,10.5,1.6,65.4,0.0
2026-06-22 03:00:00,10.1,1.4,71.1,0.2
2026-06-22 04:00:00,11.3,1.3,67.0,4.2
2026-06-22 05:00:00,13.2,1.4,55.8,34.8
2026-06-22 06:00:00,14.7,1.3,51.1,37.1
2026-06-22 07:00:00,16.1,1.5,47.2,5.8
2026-06-22 08:00:00,18.0,1.5,42.8,81.8
2026-06-22 09:00:00,19.4,1.1,40.9,45.1
2026-06-22 10:00:00,20.5,1.0,38.3,81.0
2026-06-22 11:00:00,21.1,2.7,38.6,100.0
2026-06-22 12:00:00,21.1,2.3,39.1,100.0
2026-06-22 18:00:00,21.8,1.4,50.7,69.9
2026-06-23 00:00:00,13.2,1.2,78.8,50.8
2026-06-23 06:00:00,14.8,1.1,62.8,56.2
2026-06-23 12:00:00,23.4,2.1,41.6,52.3
2026-06-23 18:00:00,21.3,4.1,60.6,78.9
2026-06-24 00:00:00,15.0,1.9,87.8,60.2
2026-06-24 06:00:00,16.9,1.7,76.2,60.2
2026-06-24 12:00:00,25.7,3.5,48.2,65.2
2026-06-24 18:00:00,24.2,3.6,55.6,15.2
2026-06-25 00:00:00,14.5,2.1,77.3,7.8
2026-06-25 06:00:00,16.6,1.7,61.8,10.9
2026-06-25 12:00:00,25.1,2.7,38.4,34.4
2026-06-25 18:00:00,24.2,2.6,48.2,12.1
2026-06-26 00:00:00,14.7,1.7,77.3,23.8
2026-06-26 06:00:00,16.5,1.3,64.1,33.6
2026-06-26 12:00:00,24.5,1.5,45.8,62.5
2026-06-26 18:00:00,24.1,2.6,55.6,46.9
2026-06-27 00:00:00,16.7,1.4,82.3,47.7
2026-06-27 06:00:00,18.7,1.2,74.9,81.2
2026-06-27 12:00:00,27.0,3.6,48.4,34.4
2026-06-27 18:00:00,25.2,3.3,59.4,23.4
2026-06-28 00:00:00,17.2,1.8,84.5,14.8
2026-06-28 06:00:00,19.2,1.7,75.5,54.7
2026-06-28 12:00:00,27.1,4.1,50.9,39.5
2026-06-28 18:00:00,25.0,3.3,59.6,14.5
2026-06-29 00:00:00,17.6,1.5,87.6,9.4
2026-06-29 06:00:00,19.4,1.2,76.3,13.7
2026-06-29 12:00:00,28.0,3.3,44.3,24.2
2026-06-29 18:00:00,26.3,3.2,54.8,10.9
2026-06-30 00:00:00,17.4,1.7,80.9,16.4
2026-06-30 06:00:00,18.5,1.5,69.0,15.6
